,filename,language,num_lines,char_count,0,1,2,3
21,,,,,README.md,md,0.0,"Counter({' ': 54, 'e': 24, 'o': 22, 't': 22, 'a': 21, 'n': 19, 'i': 18, 's': 18, '\n': 16, 'c': 13, 'h': 12, 'r': 12, 'p': 11, 'g': 9, 'l': 8, 'w': 8, 'd': 7, 'u': 7, 'b': 7, 'k': 6, '""': 6, '#': 5, 'm': 5, '*': 5, '-': 4, 'y': 4, '.': 4, 'W': 2, 'x': 2, ':': 2, ',': 2, 'T': 1, 'j': 1, 'A': 1, 'f': 1})"
22,,,,,background.js,js,0.0,"Counter({' ': 35, 'e': 24, 'n': 18, 'o': 18, '\n': 16, 'a': 15, 't': 15, 'r': 12, 'i': 11, '.': 10, 's': 10, 'l': 9, 'c': 9, '""': 8, 'd': 7, 'g': 7, 'p': 6, 'b': 6, '/': 5, 'w': 5, 'y': 5, '(': 5, ')': 5, '*': 4, 'm': 4, 'h': 3, 'M': 3, 'P': 3, ';': 3, '-': 2, 'u': 2, '{': 2, '}': 2, 'A': 2, 'k': 2, 'O': 1, ',': 1, 'f': 1, 'j': 1, ':': 1, 'C': 1, 'L': 1})"
23,,,,,my-page.html,html,0.0,"Counter({' ': 14, '\n': 12, '<': 10, '>': 10, 'h': 8, 't': 7, 'm': 5, 'e': 5, 'a': 5, 'd': 4, '/': 4, 'l': 3, 'y': 3, '!': 2, 's': 2, '""': 2, 'b': 2, 'o': 2, '1': 2, 'D': 1, 'O': 1, 'C': 1, 'T': 1, 'Y': 1, 'P': 1, 'E': 1, 'c': 1, 'r': 1, '=': 1, 'u': 1, 'f': 1, '-': 1, '8': 1, 'I': 1, ""'"": 1, 'p': 1, 'g': 1})"
24,,,,,README.md,md,0.0,"Counter({' ': 23, 't': 17, 'i': 14, 'o': 13, 'e': 13, 's': 11, '\n': 9, 'h': 8, 'n': 8, 'c': 5, 'a': 5, '#': 4, 'l': 4, 'k': 3, 'W': 2, 'f': 2, 'A': 2, '-': 1, 'd': 1, 'T': 1, 'x': 1, 'v': 1, 'b': 1, '.': 1, 'w': 1, 'D': 1, 'm': 1, 'r': 1, 'g': 1, '(': 1, ')': 1, 'u': 1, 'P': 1, 'I': 1})"
25,,,,,cookies.html,html,0.0,"Counter({' ': 71, 'e': 26, 's': 21, '\n': 20, '<': 19, '>': 19, 'i': 19, 't': 18, '""': 18, 'l': 16, 'd': 15, 'c': 14, 'a': 13, 'h': 11, 'o': 11, 'r': 9, '=': 9, '/': 9, '-': 8, 'n': 7, 'v': 6, 'p': 5, 'm': 4, 'k': 4, 'u': 3, 'y': 3, 'f': 2, '.': 2, 'b': 2, '!': 1, 'D': 1, 'O': 1, 'C': 1, 'T': 1, 'Y': 1, 'P': 1, 'E': 1, '8': 1, 'x': 1, 'j': 1})"
26,,,,,cookies.css,css,0.0,"Counter({' ': 13, '\n': 11, 'p': 5, 't': 4, 'd': 4, 'i': 4, 'm': 3, 'l': 3, 'o': 3, '{': 3, ':': 3, '5': 3, 'x': 3, ';': 3, '}': 3, 'a': 3, 'n': 3, 'h': 2, 'b': 2, '0': 2, 'g': 2, ',': 1, 'y': 1, 'w': 1, '.': 1, 'e': 1, 'r': 1, '-': 1})"
27,,,,,cookies.js,js,0.0,"Counter({' ': 235, 'e': 124, 't': 108, 'o': 77, 'a': 60, 'i': 58, 'n': 54, 'c': 46, 'l': 46, 'r': 39, '\n': 39, 'd': 31, 's': 30, '.': 27, '(': 23, ')': 23, 'h': 22, 'b': 22, 'u': 21, 'k': 21, 'p': 20, ';': 18, 'm': 15, 'g': 13, '/': 12, 'v': 12, '=': 11, 'f': 10, 'C': 10, '""': 10, 'T': 9, '{': 8, '}': 8, 'w': 6, 'y': 5, 'A': 5, ':': 5, 'x': 5, 'N': 5, 'E': 4, ""'"": 4, '>': 3, '+': 3, 'L': 3, 'F': 2, 'j': 2, 'U': 2, 'B': 2, 'I': 2, '-': 2, '0': 1, '<': 1, 'q': 1, 'W': 1, ',': 1})"
28,,,,,README.md,md,0.0,"Counter({' ': 196, 'e': 134, 't': 113, 'o': 88, 'n': 87, 'i': 62, 's': 60, 'a': 56, 'r': 49, 'd': 36, 'l': 34, 'u': 30, 'h': 30, '\n': 27, 'p': 26, 'c': 24, 'b': 22, 'w': 20, '-': 16, 'x': 16, 'f': 15, '.': 15, 'A': 13, '/': 13, 'g': 13, 'm': 9, '#': 7, 'W': 7, 'k': 6, ',': 6, 'F': 6, ':': 6, 'E': 6, 'T': 6, 'I': 6, '*': 6, '\t': 6, 'y': 5, 'v': 5, 'P': 5, 'S': 4, 'â': 3, '\x80': 3, '\x94': 3, 'R': 3, '[': 3, ']': 3, 'O': 3, 'Q': 2, '(': 2, 'z': 2, 'U': 2, ')': 2, 'H': 2, '4': 1, '7': 1, '+': 1, 'X': 1, 'L': 1, 'j': 1, 'Y': 1})"
29,,,,,quicknote.html,html,0.0,"Counter({' ': 83, 't': 34, 'e': 28, '\n': 27, '<': 26, '>': 26, 's': 22, '""': 22, 'a': 20, 'd': 16, 'c': 16, 'i': 16, 'l': 15, 'r': 15, 'n': 15, 'o': 14, '/': 12, '=': 11, 'u': 9, 'h': 8, 'v': 8, 'b': 6, 'p': 6, 'm': 4, '-': 4, 'y': 4, 'x': 4, 'f': 3, 'k': 3, 'C': 2, 'q': 2, '.': 2, 'w': 2, '!': 1, 'D': 1, 'O': 1, 'T': 1, 'Y': 1, 'P': 1, 'E': 1, '8': 1, 'A': 1, 'j': 1})"
30,,,,,quicknote.js,js,0.0,"Counter({' ': 609, 'e': 495, 't': 447, 'n': 284, 'o': 263, 'l': 205, 'a': 204, 'i': 192, 'r': 187, '\n': 177, 'd': 176, 's': 122, '.': 120, 'c': 113, ""'"": 100, '(': 89, ')': 89, 'u': 88, ';': 85, 'p': 81, 'y': 72, '=': 66, 'v': 64, 'E': 48, 'm': 41, 'b': 36, 'B': 35, 'g': 35, 'h': 31, 'C': 30, ',': 30, '/': 27, '*': 26, 'N': 26, '{': 25, '}': 25, 'f': 24, 'T': 23, 'w': 20, 'x': 19, 'k': 12, 'A': 11, '>': 10, 'D': 10, 'S': 7, 'L': 7, 'F': 6, 'q': 5, 'K': 5, '!': 5, '-': 4, 'I': 4, 'j': 4, '&': 4, 'H': 4, '2': 4, 'P': 4, '[': 3, ']': 3, 'z': 2, 'O': 2, 'V': 2, ':': 2, '|': 2, '<': 1, '1': 1, 'U': 1})"
31,,,,,quicknote.css,css,0.0,"Counter({' ': 197, '\n': 120, 't': 75, 'o': 60, 'e': 56, 'a': 55, 'r': 53, 'n': 52, 'i': 52, ':': 48, ';': 45, '0': 41, 'p': 38, 'd': 36, 'g': 34, 'x': 34, 'b': 33, 's': 28, 'h': 26, '2': 26, 'l': 25, '-': 23, ',': 23, '{': 22, '}': 22, 'u': 21, 'f': 20, '1': 17, 'c': 17, '.': 16, 'm': 15, 'w': 13, '*': 11, '4': 11, '/': 10, 'y': 9, '(': 8, ')': 8, 'k': 6, 'z': 5, '3': 4, '%': 4, 'v': 3, '8': 3, '5': 3, '#': 2, 'N': 2, 'G': 1, '9': 1, 'T': 1})"
32,,,,,README.md,md,0.0,"Counter({' ': 100, 'o': 59, 'e': 57, 't': 53, 'r': 43, 's': 40, 'a': 36, 'n': 34, 'i': 32, 'b': 21, 'h': 21, 'c': 20, '\n': 18, 'l': 18, 'k': 17, 'm': 13, 'd': 11, 'u': 11, 'w': 11, 'p': 8, 'g': 8, 'A': 8, 'v': 7, '.': 7, '/': 7, 'f': 6, '*': 6, '#': 5, 'y': 5, '`': 4, '-': 3, 'W': 3, 'x': 2, 'I': 2, 'D': 1, 'T': 1, ',': 1, '[': 1, ']': 1, '(': 1, ':': 1, 'z': 1, 'U': 1, 'S': 1, 'E': 1, 'P': 1, ')': 1, 'C': 1})"
33,,,,,background.js,js,0.0,"Counter({' ': 341, 'e': 169, 'r': 163, 't': 156, 'o': 132, 'a': 109, 'n': 96, '\n': 86, 's': 80, 'i': 79, 'c': 73, 'b': 63, 'u': 60, 'd': 58, '.': 52, 'k': 47, 'l': 46, 'p': 37, 'm': 31, '(': 29, ')': 29, 'w': 26, 'h': 25, 'g': 25, ';': 24, '/': 24, 'v': 22, 'T': 22, 'f': 19, '{': 19, ':': 19, '}': 19, '""': 16, 'A': 15, 'B': 11, '*': 10, '-': 9, ',': 9, '=': 9, ""'"": 8, 'L': 8, 'y': 6, 'S': 6, 'U': 5, 'I': 5, '1': 5, '9': 4, '3': 4, '8': 4, '!': 4, 'P': 4, '[': 4, ']': 4, 'C': 3, '0': 3, 'R': 3, '?': 2, 'x': 2, '`': 2, 'E': 1, 'O': 1, '>': 1, '$': 1, 'q': 1, 'W': 1, 'F': 1})"
34,,,,,page.css,css,0.0,"Counter({' ': 8, 'g': 6, 'p': 4, 'n': 4, '.': 3, 'b': 3, '-': 3, 'd': 3, 'a': 3, 'e': 3, 's': 3, '\n': 3, 'r': 2, ',': 2, 'c': 2, 'i': 2, 'u': 1, 'w': 1, '{': 1, ':': 1, '1': 1, 'm': 1, ';': 1, '}': 1})"
